scale_model,nominal_coverage,single_reading_coverage,simultaneous_group_coverage,mean_interval_width_um,winkler_score,gaussian_nll,gaussian_crps
Homoscedastic,0.9,0.948637316562,0.908805031447,0.577811383518,0.703717112348,-0.419527975354,0.0805104455646
Homoscedastic,0.95,0.975978336827,0.968553459119,0.784050504679,0.917947759089,-0.419527975354,0.0805104455646
Heteroscedastic,0.9,0.953616352201,0.924528301887,0.818009863435,0.913044043764,15.6074318463,0.0830065740829
Heteroscedastic,0.95,0.977550663871,0.962264150943,1.40052545812,1.5065411893,15.6074318463,0.0830065740829
