phase,seed_scope,model,reference,mae_um,rmse_um,r2,fold_wins_vs_reference,material_negative_transfer_rate,mae_improvement_um,mae_improvement_ci95
Phase A,20260723,M0,—,0.104618993588,0.142870053878,0.826171925325,,,,—
Phase A,20260723,P1,M0,0.107735164204,0.147107396813,0.815707982837,1,,-0.003116170615701,"[-0.008250, 0.001994]"
Phase A,20260723,V1,P1,0.175927141773,0.23356710337,0.535419633257,0,0.6933962264150944,-0.0681919775690172,"[-0.086720, -0.050499]"
Phase A,20260723,F1,P1,0.119040223664,0.167781907146,0.760267035305,1,0.4764150943396226,-0.0113050594598492,"[-0.022760, -0.000647]"
Phase A,20260723,R1,P1,0.110505042554,0.147564360873,0.814561261058,2,0.3584905660377358,-0.002769878349839,"[-0.009456, 0.003620]"
Phase A,20260723,G1,P1,0.10631405417,0.145085305972,0.820739599315,2,0.1981132075471698,0.0014211100339889,"[-0.002421, 0.005166]"
Phase B,mean of 3 registered seeds,P1,—,0.10807490965,0.147046300505,0.81584574788,,,,—
Phase B,mean of 3 registered seeds,R1,P1,0.112636173012,0.150994230723,0.805644243773,,0.3710691823899371,-0.0045612633619965,"[-0.010636, 0.001247]"
Phase B,mean of 3 registered seeds,G1,P1,0.108149302497,0.145847170834,0.818749171084,,0.2091194968553459,-7.439284771158086e-05,"[-0.003133, 0.002817]"
