scale_model,n_rows,sigma_min,sigma_p01,sigma_p05,sigma_median,sigma_p95,sigma_p99,sigma_max,group_balanced_pearson_sigma_vs_mean_absolute_reading_error,sigma_le_0_01_count,reading_normalized_score_p99,reading_normalized_score_max,analysis_status
homoscedastic,1758,0.100800,0.100800,0.100800,0.114047,0.132275,0.132275,0.132275,-0.0233,0,5.1028,7.4108,exploratory_post_audit
heteroscedastic,1758,0.000603,0.008589,0.036534,0.097845,0.179403,0.253269,0.282317,0.0799,21,17.3262,876.7032,exploratory_post_audit
